controlNumber,prefLabel,scopeNote
hz27fw8nf5bxpz7g,Aak,Används för verk om den koreanska musikgenren aak.
138764,Abakus (räkneinstrument),
138765,Abbedissor,särsk Cjz
138767,Abborre,
278090,Abborrfiskar,
138768,Abborrfiske,
138770,Abbotar,särsk Cjz
166810,Abbotsdömen,
138771,Abbreviaturer,se även resp språk med tillägg .07
143325,ABC-böcker,
138772,ABC-böcker--historia,
138773,Abchaziska språket,
367627,Abdikation,
345025,Abduktion,
150656,Abelska grupper,
138775,Aberration,"- astronomi Uah, - optik Uccb. Särsk himlakroppar se resp avd av Ua."
138777,Abessinienkriget 1935-1936,
138778,Abessinier (kattras),
166833,Abiturienter,
138781,Abnormpsykologi,
143327,Abolition,
138782,Abolitionister,Särsk Lz.
242760,Aboriginal music,
143328,Aboriginer,
334890,Aboriginer--historia,
222333,Aboriginsk konst,
278091,Aboriginsk litteratur,För litteraturen i sig används SAB-kod Hxrf
220745,Aboriginsk mytologi,
319350,Aboriginska kvinnor,
138784,Aborter,"- sexologi Vndma, - obstetrik Vgaba."
wb6jfcs9tqpkx9rq,Aborter i konsten,
138785,Aborter--etik och moral,
319833,Aborter--juridik och lagstiftning,
319832,Aborter--religiösa aspekter,
138787,Abortmotstånd,
392974,Abortmotståndare,
138788,Abrasion (erosion),
161082,Absider,
293228,Absint,
138790,Absolut gehör,
138792,Absolut musik,
163706,Absolution,"- liturgik Chab, - sakramenten Ceae. Se även resp samfund med tillägg .03 och .02."
166734,Absolutism,"- historia K, - politiska begrepp Ocga. Se även resp lands historia, t ex Frankrike Kj."
143330,Absorption,"- fysikalisk kemi Uceefa, - kemisk teknik Pm."
138800,Absorption (optik),
138801,Absorption (värmelära),
138802,Absorptionsspektrum,
t4qbw0bxrl2k85p6,Abstinenssyndrom,
138803,Abstrakt algebra,
139106,Abstrakt algebraisk geometri,
138804,Abstrakt expressionism,
147665,Abstrakt harmonisk analys,
138805,Abstrakt konst,"- konsthistoria Ib.5, - målarkonst Ie.5. Se även resp lands konsthistoria eller målarkonst med tillägg .5"
143331,Abstraktion,
143333,Absurd dramatik,Se även resp litteraturhistoria med tillägg 02 t ex svensk Gc.02. För genren i sig se H.02 och resp skönlitteratur med tillägg 02 t ex svensk Hc.02
143332,Absurd teater,
143334,Acceleration,
143336,Accent,"- fonetik F.011, - prosodi F.05. Se även resp språk med tillägg .011 och .05 , t.ex. svenska Fc..011 och Fc.05."
321351,Acceptans,
215297,Access,
167826,Accessoarer,
161083,Accidenstryck,
138811,Acciser,
138812,Accordeon,Dragspel med melodibas
329917,Accordeonkonserter,
226385,Acem-meditation,
138820,Aceton,
138822,Acetylen,
138823,"Acetylen--framställning, tillverkning etc.",
138824,Acetylensvetsning,
409778,Acetylkolin,
409787,Acetylkolinesteras,
143337,Acetylsalicylsyra,
350291,Acheuléen,
271148,Achinesiska handskrifter,
138827,Achinesiska språket,
228184,Acholi (folk),"- Sudan Mpbb, - Uganda Mpfa."
138828,Acholi (språk),
367629,Achuar (folk),
242771,Acid house,
329913,Acid jazz,Dansvänlig populärmusikgenre
170392,Ackjor,
138833,Acklimatisering (biologi),"- ekologi Ue.05, - botanik Uf.05, - zoologi Ug.05."
138836,Ackommodation (ögat),
138837,Ackord (juridik),
138839,Ackord (musik),
138838,Ackordslön,
138840,Ackulturation,
138841,Ackumulation (geologi),
138842,Ackumulatorer,
138844,Acne,
229263,Acrobat,
316072,ACT,
318797,Actio,
161084,Actionfilm,
341596,ActionScript (programspråk),
138848,Acykliska föreningar,
138849,ADA (programspråk),
138850,Adamawaspråk,
138851,Adangme (språk),
138852,Adaptation (biologi),
138072,Adaptation (fysiologi),
138854,Adaptation (psykologi),
320847,Adat,"- Malaysia Oe-occa, - Indonesien Oe-oda."
143339,ADB-tjänster,
138857,Addisons sjukdom,
138858,Addition,
6q5597kc4f9fzkm6,Additiv tillverkning,
339378,Adekvat kausalitet,
143340,Adel,
n3z969k1l6gcvtn9,Adel i litteraturen,
138859,Adel--historia,
161085,Adelsbrev,
267998,Adelsflickor,Särsk Lz.
138862,Adelskalendrar,
170369,Adelskvinnor,Särsk Lz.
220746,Adelsmän,Särsk Lz.
143341,Adelsståndet...,Använd institutionsnamnet Sverige. Riksdagen. Adelsståndet.
167720,Adelsvapen,
168259,Adenovirus,
138866,Adenviken,
138867,Adhd,"- genomgripande störningar i utvecklingen Vlad, - handikappade Ohfh."
372735,Adiafora,Hit verk om föreställningen inom kristen teologi att vissa övertygelser och handlingar varken är tillåtna eller förbjudna och därmed blir frågor för individens egna samvete och preferenser.
